"","age_grp","region","future_decision_role","num_hh_vehicles","household_members_1","household_members_2","household_members_3","household_members_4","modes_used_1","modes_used_2","modes_used_3","modes_used_4","modes_used_5","modes_used_6","modes_used_7","modes_used_8","modes_used_9","modes_used_10","modes_used_11","modes_used_12","autonomous_aware","autonomous_att_1","autonomous_att_2","autonomous_att_3","autonomous_att_4","autonomous_att_5","autonomous_att_7","autonomous_att_8","autonomous_hhveh","autonomous_rideshare","autonomous_pooled","autonomous_pref","housing","income","gender","employment","student","education","license","drive_freq","transit_freq","tnc_freq","job_type","work_mode","work_distance","work_days","school_mode","school_distance","ethnicity","race_1","race_2","race_3","race_4","race_5","race_6","race_7"
"1","3",5,1,1,0,0,0,1,"0","0","1","0","0","0","0","0","0","0","0","0","1",3,1,4,2,1,1,4,2,2,4,4,2,"3","0",4,4,"3","0",3,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"3","3",2,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,4,2,4,1,1,1,1,1,1,4,1,"2","1",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"4","1",2,2,1,1,0,1,3,"0","1","1","0","0","0","1","1","0","0","0","0","1",2,4,2,3,3,1,2,1,1,3,2,2,"2","1",4,1,"3","1",5,0,2,5,"6",0,0,"2",5,"0",0,0,0,0,1,0,0
"5","3",5,3,2,0,0,0,2,"0","1","0","1","0","0","0","0","0","0","0","0","2",3,3,1,3,1,1,3,2,2,2,3,1,"3","0",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"6","2",6,1,2,0,0,0,2,"1","0","0","0","1","0","0","0","0","0","0","0","1",2,2,2,2,2,3,3,2,2,3,3,2,"3","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"7","3",4,2,2,0,0,0,2,"1","0","0","0","0","1","1","1","0","0","0","0","2",3,2,3,2,3,2,3,1,2,2,2,1,"4","1",2,4,"3","0",1,0,0,1,"1",15,3,"6",0,"1",0,0,0,0,1,0,0
"8","3",2,1,1,0,0,0,2,"0","1","0","1","1","1","1","1","0","0","0","0","1",1,1,1,1,1,1,1,1,1,4,4,5,"5","1",1,4,"3","0",1,7,0,3,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"9","3",6,2,3,0,0,0,3,"0","0","0","0","0","1","1","1","0","0","0","0","3",1,4,1,4,1,1,1,1,1,1,3,1,"2","1",2,4,"2","0",1,0,0,1,"1",10,4,"6",0,"1",0,0,0,0,1,0,0
"10","2",2,1,1,0,0,0,2,"0","0","0","0","1","0","0","0","0","0","0","0","1",1,4,1,4,1,1,1,1,1,1,3,1,"5","0",1,4,"4","0",1,0,0,1,"1",6,5,"6",0,"1",0,0,0,0,1,0,0
"11","2",5,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,3,2,3,2,1,3,1,2,2,3,1,"3","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"12","2",2,1,1,0,1,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,4,3,3,3,2,3,1,2,2,2,1,"2","1",1,4,"3","0",1,0,0,1,"5",8,5,"6",0,"1",0,0,0,0,1,0,0
"13","2",5,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","3",1,4,1,4,1,1,1,1,1,1,1,1,"3","1",2,4,"3","0",1,0,0,1,"1",30,4,"6",0,"1",0,0,0,0,0,0,1
"14","3",2,2,2,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","1",3,4,4,2,1,1,3,2,2,1,3,1,"4","0",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"15","2",2,1,2,0,0,0,3,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,3,3,3,3,3,3,2,1,2,3,1,"3","0",1,4,"3","0",1,0,0,1,"1",8,5,"6",0,"1",0,1,0,0,0,0,0
"16","1",2,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,3,3,3,3,3,3,2,2,2,2,1,"3","1",1,4,"3","0",3,0,0,1,"2",10,5,"6",0,"1",0,0,0,0,1,0,0
"17","1",2,1,2,0,2,1,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,4,1,4,1,1,1,1,1,4,1,1,"1","1",4,4,"2","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"18","3",2,2,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,3,3,3,3,3,3,3,1,2,3,1,"3","0",4,4,"3","0",1,7,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"19","1",5,3,3,0,0,0,3,"0","0","1","0","0","0","1","0","0","0","0","0","1",4,1,4,2,2,2,4,2,3,4,2,1,"2","1",2,4,"3","0",1,0,0,1,"1",2.3,4,"6",0,"1",0,0,0,0,1,0,0
"20","1",2,1,2,2,2,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,3,2,2,3,3,3,2,2,1,4,3,"2","1",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"0",0,0,0,0,1,0,0
"21","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","1","1","0","0","0","0","1",2,1,2,4,2,1,2,1,1,1,2,1,"2","1",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"22","1",2,3,1,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,2,3,2,3,2,2,1,1,2,4,4,"2","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"0",0,0,0,0,0,1,0
"23","1",5,2,1,2,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,2,3,2,2,1,2,2,2,3,3,1,"3","1",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"24","1",1,1,1,0,0,0,2,"0","1","0","0","0","0","0","0","0","0","0","0","1",3,4,3,3,2,1,3,2,1,2,2,1,"2","0",1,2,"3","0",1,2,0,2,"1",10,5,"1",12,"0",0,0,0,0,1,0,0
"25","2",2,1,1,0,0,0,1,"0","1","1","1","0","1","1","1","0","0","0","0","2",4,4,3,4,4,4,4,3,2,1,2,5,"1","1",1,4,"3","0",1,3,3,4,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"26","3",4,2,1,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","1",3,4,1,1,1,1,2,1,2,1,2,1,"3","0",2,4,"2","0",1,0,0,1,"1",10,2,"6",0,"1",0,0,0,0,1,0,0
"27","2",3,1,3,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,4,1,4,1,1,3,1,1,1,3,1,"3","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"28","2",5,2,2,0,0,0,2,"0","1","1","1","0","1","1","0","0","0","0","0","2",2,2,3,2,2,3,3,2,2,3,2,1,"4","1",5,4,"3","0",1,0,0,3,"6",0,0,"6",0,"1",0,1,0,0,1,0,0
"29","3",3,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,3,2,4,2,1,1,1,2,1,3,1,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"30","2",2,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,4,1,4,1,1,1,1,1,1,3,1,"3","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"31","3",2,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,4,3,4,1,1,3,1,2,1,2,5,"5","1",1,4,"3","0",1,0,0,1,"1",11,6,"6",0,"1",0,0,0,0,1,0,0
"32","3",4,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",4,4,3,2,3,3,4,2,2,3,4,1,"3","1",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"33","3",5,1,1,0,0,0,1,"1","1","1","0","0","0","0","0","0","0","0","0","3",3,2,3,2,3,3,4,1,3,3,2,5,"1","0",4,4,"3","0",2,3,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"34","2",6,3,1,0,0,0,2,"0","0","0","0","0","0","1","0","0","0","0","0","1",4,3,3,3,1,1,1,2,1,2,3,1,"2","1",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"35","2",5,2,2,0,0,0,2,"0","0","0","0","0","0","1","0","0","0","0","0","2",4,2,3,1,2,3,3,2,2,3,3,1,"3","0",1,4,"3","0",1,0,0,2,"1",18,5,"6",0,"1",0,0,0,0,1,0,0
"36","2",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,4,2,3,2,1,2,1,1,1,1,6,"2","0",2,4,"4","0",1,0,0,1,"1",43,2,"6",0,"1",0,1,0,0,0,0,0
"37","2",4,3,1,0,0,0,2,"0","1","1","1","1","1","1","0","0","0","0","0","2",1,4,3,2,2,3,3,2,2,2,2,6,"3","0",4,4,"3","0",3,1,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"38","2",1,2,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,4,1,3,1,1,3,1,1,1,3,1,"2","1",4,4,"2","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"39","3",6,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,3,1,3,1,1,3,1,1,2,3,1,"4","1",4,4,"3","0",2,4,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"40","3",2,1,2,0,0,0,2,"0","0","0","0","1","0","0","0","0","0","0","0","2",1,4,1,4,1,1,1,1,1,1,3,1,"4","0",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"0",0,0,0,0,1,0,0
"41","2",6,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,2,3,2,2,2,2,2,2,3,2,4,"1","1",2,4,"3","0",1,1,0,2,"1",2,3,"6",0,"1",0,0,0,0,1,0,0
"42","1",1,3,2,1,1,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,4,1,4,1,1,1,1,1,1,4,1,"2","1",4,4,"2","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"43","3",2,1,1,0,0,0,1,"0","0","1","0","0","1","1","1","0","0","0","0","2",3,3,2,3,2,2,3,2,2,3,2,5,"3","1",1,4,"4","0",1,0,0,1,"1",13,5,"6",0,"1",0,0,0,0,1,0,0
"45","3",6,3,1,0,0,0,3,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,3,1,3,1,1,1,1,1,2,1,2,"2","1",5,4,"2","0",2,0,0,3,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"46","2",5,3,4,0,0,0,3,"0","0","1","0","0","1","0","0","0","0","0","0","1",2,3,3,3,2,1,2,1,1,1,3,1,"5","0",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"47","3",3,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",2,4,3,4,1,1,3,1,1,1,4,3,"1","0",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"48","3",6,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,3,3,3,1,1,1,1,1,1,3,1,"5","1",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"49","3",2,1,1,0,0,0,1,"0","1","1","0","0","0","0","0","0","0","0","0","1",4,1,4,3,4,1,4,2,2,1,3,1,"1","0",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"50","2",2,2,1,0,0,0,2,"0","1","0","0","0","0","0","0","0","0","0","0","1",3,2,3,2,2,1,3,1,2,2,3,1,"3","1",1,4,"4","0",1,0,0,2,"1",10,5,"6",0,"1",0,0,0,0,1,0,0
"51","1",2,1,1,0,0,0,1,"0","0","0","0","0","0","1","1","0","0","0","0","1",3,3,3,2,2,1,4,1,2,3,3,6,"5","0",2,4,"3","0",1,0,0,2,"1",45,3,"6",0,"1",0,1,0,0,0,0,0
"53","3",2,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,3,2,2,3,1,2,2,1,2,4,1,"5","0",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"54","3",4,1,1,0,0,0,1,"0","0","0","1","0","0","0","0","0","0","0","0","2",4,3,3,2,1,1,3,2,2,2,4,1,"3","0",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"55","2",5,3,2,0,0,0,2,"0","1","1","0","0","0","0","0","0","0","0","0","2",2,3,3,3,1,1,2,1,1,2,3,1,"2","0",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"56","3",2,3,2,0,0,0,2,"0","0","0","0","0","0","1","1","0","0","0","0","2",4,4,1,1,4,1,4,1,2,4,2,1,"3","0",4,4,"3","0",3,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"57","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,3,1,4,1,1,1,1,1,2,1,1,"1","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"58","1",5,3,3,0,0,0,3,"0","1","1","0","0","0","1","1","0","0","0","0","2",2,2,2,4,1,1,3,1,1,3,2,1,"2","1",4,1,"3","0",2,20,0,5,"6",0,0,"4",20,"1",0,1,0,0,0,0,0
"59","3",2,1,2,0,0,0,1,"0","0","0","0","1","0","0","0","0","0","0","0","2",1,4,1,4,1,1,1,1,1,3,1,1,"2","0",4,4,"3","0",2,0,2,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"60","2",2,1,1,0,0,0,1,"0","1","1","0","0","0","0","0","0","0","0","0","1",1,4,4,4,4,4,4,1,1,1,2,8,"1","1",4,2,"3","0",3,10,0,5,"6",0,0,"4",2,"1",0,0,1,0,0,0,0
"61","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,3,2,4,1,1,1,1,1,1,3,1,"1","0",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"62","3",3,2,2,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","2",2,4,2,3,2,1,3,1,1,4,3,3,"2","0",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"63","2",2,1,1,0,0,0,1,"0","1","1","1","0","0","1","0","0","0","0","0","2",2,4,3,1,1,1,3,1,1,3,2,1,"2","0",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"64","3",4,1,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,3,3,2,2,2,4,2,2,2,3,5,"3","1",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"65","1",2,3,2,0,0,0,2,"0","0","0","0","0","1","1","0","0","0","0","0","2",2,2,2,2,1,1,2,1,2,4,1,2,"3","1",1,4,"3","0",1,0,0,1,"1",15,5,"6",0,"1",0,1,0,0,0,0,0
"66","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",1,4,1,2,1,1,1,1,1,3,4,6,"2","0",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"67","2",2,1,1,0,0,0,3,"0","0","0","0","0","0","0","0","0","0","0","0","3",3,3,3,3,3,3,3,2,2,3,1,1,"3","1",4,4,"1","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"68","2",2,3,1,0,0,0,2,"0","1","0","0","0","1","1","0","0","0","0","0","2",3,2,3,2,2,2,3,1,2,2,1,1,"1","0",2,4,"3","0",1,0,0,3,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"69","2",5,1,1,0,0,0,2,"0","1","1","1","1","1","1","1","0","0","0","0","1",2,2,2,2,2,2,2,2,2,3,3,1,"4","1",1,4,"3","0",2,10,0,1,"4",12,5,"6",0,"1",0,1,0,0,0,0,0
"70","1",2,3,1,0,0,0,2,"0","1","0","0","0","0","0","0","0","0","0","0","1",4,1,3,1,2,2,4,2,1,3,4,4,"1","1",4,3,"2","0",3,2,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"71","2",5,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,3,2,3,2,2,3,1,1,2,2,1,"3","1",5,4,"3","0",1,0,0,3,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"72","2",5,1,2,0,1,1,2,"0","0","1","0","0","1","0","0","0","0","0","0","3",1,3,1,3,1,1,1,1,1,1,3,1,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"74","2",4,1,1,0,0,0,1,"0","1","0","0","0","0","0","0","0","0","0","0","2",4,3,3,2,3,3,4,2,2,3,2,5,"2","0",1,4,"3","0",3,0,0,1,"1",10,5,"6",0,"0",1,0,0,0,0,0,0
"75","1",2,1,1,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,2,2,2,2,2,3,1,1,2,2,1,"2","0",1,4,"3","0",1,0,0,1,"1",10,5,"6",0,"1",0,0,0,0,1,0,0
"76","1",3,1,3,1,0,0,1,"0","0","0","0","1","1","1","0","0","1","0","0","2",3,2,3,2,4,3,4,2,3,3,2,6,"1","1",1,4,"3","0",1,0,1,1,"1",5,5,"6",0,"1",1,0,0,0,0,0,0
"77","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,2,3,1,1,1,2,2,1,3,4,5,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"78","3",2,1,2,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","1",3,4,3,4,1,1,3,1,1,1,3,3,"2","1",4,4,"2","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"79","2",5,1,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,2,4,2,2,2,3,2,2,2,2,1,"3","1",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"80","3",5,3,2,0,0,0,2,"0","0","0","0","1","0","0","0","0","0","0","0","1",2,3,2,3,2,1,2,1,1,1,2,1,"4","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"81","2",1,3,1,0,0,0,3,"0","0","1","1","0","1","0","0","0","0","0","0","2",3,2,2,2,4,3,3,2,3,2,2,1,"3","1",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"82","3",6,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",4,3,4,1,1,1,4,2,2,2,4,6,"2","1",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,1,0,0,0,0
"83","2",2,1,2,1,0,0,3,"0","0","0","0","0","0","0","0","0","0","0","0","1",4,4,3,2,4,3,3,1,1,4,2,6,"2","1",1,4,"2","0",1,1,1,1,"1",5,6,"6",0,"0",0,0,0,0,1,0,0
